headline,wiebe,afinn,sent
"That sinking feeling! £120,000 Bentley Continental gets stuck in the sand after 'Russian' owner drives it on to Cornish beach - and has to be pulled out by tractor ",-2.0,-1.0,-1.5,99.0
Embarrassing symptoms could be deadly female CANCER,-28.999999999999996,-9.0,-19.0,-10.0
Spanish officials find migrant trying to reach Europe hidden in car engine,-4.0,2.0,-1.0,-33.0
Why you could have diabetes and not know it,0.0,0.0,0.0,-4.0
Bradford man killed by driver who was distracted as she sent texts,0.0,-8.0,-4.0,-9.0
Ukip will launch its own No campaign against staying in the EU,4.0,-2.0,1.0,76.0
Ukip will launch its own No campaign against staying in the EU,4.0,-2.0,1.0,76.0
Royalists slam David Starkey as 'venomous' for claims about the Queen,-9.0,-4.0,-6.5,98.0
Shadae Worrell left scarred in Bristol street attack 'because she is too beautiful',-8.0,3.0,-2.5,-12.0
"Widower Samuel Rae was targeted by 12 scam firms and lost £35,000",-4.0,-8.0,-6.0,-2.0
Catholic priests to get power to forgive abortion,13.0,3.0,8.0,-24.0
Taste for staycations creates £960m camping giant,0.0,0.0,0.0,-44.0
Farage: EU’s ‘idiotic’ asylum policy has caused migrant crisis,-10.0,-12.0,-11.0,-1.0
"UK should take 10,000 refugees, says Yvette Cooper",0.0,0.0,0.0,77.0
No place for Andrew Trimble in squad as Ireland take scrum-half gamble,-4.0,-2.0,-3.0,69.0
Nico Hulkenberg commits to Force India for another two years,-5.0,2.0,-1.5,82.0
Everton midfielder Darron Gibson admits drunken car smash,-19.0,-3.0,-11.0,56.99999999999999
Americans square up for Aga hotpot,0.0,0.0,0.0,69.0
Q&A: why David De Gea deal collapsed ... and what happens next,4.0,-3.0,0.5,-4.0
Manufacturing hit by waning overseas demand,-17.0,-7.000000000000001,-12.0,90.0
A job centre for jihadists: Evil Islamic State launch BENEFITS system within 'caliphate',-4.0,-2.0,-3.0,91.0
Morocco terror warning: Officials raise threat level to HIGH for British holidaymakers,-17.0,-13.0,-15.0,100.0
Europe breaking up? EU could scrap free movement in wake of migrant crisis,0.0,-3.0,-1.5,-19.0
